resume_text,job_title,match_score
SQL basic queries,Database Administrator,42.55
Data analyst with 7 years SQL Excel Tableau Power BI Python pandas matplotlib data visualization statistics business intelligence reporting dashboards KPI metrics data storytelling stakeholder management,Data Analyst,87.65
Database administrator 6 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,84.42
Java programming student projects,Senior Java Architect,25.64
SQL basic queries,Database Administrator,31.91
Data engineer 2 years Python Spark Hadoop Hive Kafka Airflow ETL data pipeline AWS Redshift data warehousing big data Snowflake dbt,Data Engineer,84.76
Android developer 2 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,86.6
WordPress basic website,Full Stack Developer,29.81
Excel Word PowerPoint,Data Engineer,15.95
iOS developer 3 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,84.18
Java programming student projects,Senior Java Architect,30.75
Full stack developer 3 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,87.05
Blockchain developer 7 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,86.57
Java developer 7 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,79.68
Docker Kubernetes basics,DevOps Engineer,58.98
React developer JavaScript,Full Stack Developer,60.15
Cloud architect 4 years AWS solutions architect EC2 VPC RDS S3 Lambda API Gateway IAM security cost optimization high availability disaster recovery multi-region CloudFront,Cloud Architect,88.03
Java developer 5 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,81.47
Cloud architect 4 years AWS solutions architect EC2 VPC RDS S3 Lambda API Gateway IAM security cost optimization high availability disaster recovery multi-region CloudFront,Cloud Architect,98.0
Frontend HTML CSS JavaScript,Full Stack Developer,56.06
Frontend HTML CSS JavaScript,Full Stack Developer,50.21
iOS developer 4 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,97.21
Data analyst with 2 years SQL Excel Tableau Power BI Python pandas matplotlib data visualization statistics business intelligence reporting dashboards KPI metrics data storytelling stakeholder management,Data Analyst,84.23
Entry level computer science graduate,Principal Software Engineer,27.23
Blockchain developer 4 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,82.38
HTML CSS basic JavaScript,Lead Backend Developer,31.8
Java developer 2 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,90.43
Android developer 7 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,85.28
SQL database basics,Database Administrator,66.16
Flutter developer 4 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,84.82
Intern 6 months testing,QA Lead,35.55
Python data analysis pandas,Data Engineer,63.79
iOS developer 4 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,88.31
Blockchain developer 5 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,78.61
Python developer 2 years Django Flask,Machine Learning Engineer,53.65
Flutter developer 2 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,87.5
DevOps engineer 7 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,89.83
iOS developer 3 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,91.48
Frontend developer 4 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,87.0
QA engineer 2 years automation testing Selenium WebDriver Java TestNG Maven Cucumber BDD API testing Postman JIRA agile regression testing test planning,QA Engineer,85.43
Database administrator 4 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,93.13
iOS developer 7 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,94.83
DevOps engineer 6 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,92.72
Data analyst with 6 years SQL Excel Tableau Power BI Python pandas matplotlib data visualization statistics business intelligence reporting dashboards KPI metrics data storytelling stakeholder management,Data Analyst,86.34
Frontend developer 7 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,91.4
Docker Kubernetes basics,DevOps Engineer,60.1
Data engineer 2 years Python Spark Hadoop Hive Kafka Airflow ETL data pipeline AWS Redshift data warehousing big data Snowflake dbt,Data Engineer,97.83
AI engineer 2 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,91.76
Java developer 4 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,84.64
iOS developer 3 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,93.12
Python beginner learning online courses,Senior Machine Learning Engineer,21.03
DevOps engineer 5 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,90.48
DevOps engineer 7 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,81.92
Android developer 2 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,86.79
Android development basics,Senior Android Developer,49.65
Android development basics,Senior Android Developer,53.41
Python beginner learning online courses,Senior Machine Learning Engineer,22.48
DevOps engineer 6 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,90.11
SQL database basics,Database Administrator,62.26
Python Django tutorial,Senior Backend Engineer,32.22
Product manager 3 years product roadmap agile scrum user stories market research competitive analysis stakeholder management data-driven decision making SQL A/B testing,Product Manager,88.1
Python Django tutorial,Senior Backend Engineer,35.15
Intern 6 months testing,QA Lead,41.37
Backend developer 7 years Python Django Flask FastAPI PostgreSQL Redis Celery Docker REST API microservices async programming unit testing pytest data structures algorithms,Backend Developer,89.37
Testing manual automation,Senior QA Engineer,61.89
Python Django tutorial,Senior Backend Engineer,37.53
SQL database basics,Database Administrator,54.02
Python data analysis pandas,Data Engineer,53.98
DevOps engineer 3 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,98.0
Cybersecurity analyst 7 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,91.33
Frontend HTML CSS JavaScript,Full Stack Developer,63.2
Python Django tutorial,Senior Backend Engineer,32.99
Java Spring Boot basics,Senior Java Developer,54.45
SQL database basics,Database Administrator,50.31
Android development basics,Senior Android Developer,64.31
WordPress basic website,Full Stack Developer,26.55
Testing manual automation,Senior QA Engineer,64.12
Database administrator 7 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,80.37
Cloud architect 3 years AWS solutions architect EC2 VPC RDS S3 Lambda API Gateway IAM security cost optimization high availability disaster recovery multi-region CloudFront,Cloud Architect,98.0
Full stack developer 4 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,91.1
Java developer 6 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,84.12
Data engineer 4 years Python Spark Hadoop Hive Kafka Airflow ETL data pipeline AWS Redshift data warehousing big data Snowflake dbt,Data Engineer,92.23
Excel Word PowerPoint,Data Engineer,24.65
SQL basic queries,Database Administrator,37.34
Full stack developer 5 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,87.87
SQL database basics,Database Administrator,62.65
Frontend HTML CSS JavaScript,Full Stack Developer,65.93
Full stack developer 3 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,87.91
SQL basic queries,Database Administrator,36.68
Machine learning engineer 3 years TensorFlow PyTorch Keras scikit-learn deep learning CNN RNN LSTM neural networks computer vision NLP model deployment MLOps Docker Kubernetes Python data preprocessing feature engineering,Machine Learning Engineer,92.87
Python data analysis pandas,Data Engineer,49.07
Flutter developer 3 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,88.02
Python Django tutorial,Senior Backend Engineer,33.59
Full stack developer 7 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,97.36
WordPress basic website,Full Stack Developer,22.91
SQL database basics,Database Administrator,54.35
Docker Kubernetes basics,DevOps Engineer,63.53
Blockchain developer 2 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,91.26
Cybersecurity analyst 2 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,90.08
Full stack developer 2 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,90.52
Python developer 2 years Django Flask,Machine Learning Engineer,61.86
Python data analysis pandas,Data Engineer,49.87
Java programming student projects,Senior Java Architect,33.0
Flutter developer 7 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,83.99
Java developer 2 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,87.75
Python developer with 4 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,87.43
iOS developer 2 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,94.65
Python developer 2 years Django Flask,Machine Learning Engineer,53.89
Python developer 2 years Django Flask,Machine Learning Engineer,48.21
Android development basics,Senior Android Developer,45.0
Frontend HTML CSS JavaScript,Full Stack Developer,65.29
Java developer 7 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,89.69
SQL database basics,Database Administrator,52.71
Testing manual automation,Senior QA Engineer,46.11
Blockchain developer 3 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,78.22
Android development basics,Senior Android Developer,64.61
Python developer 2 years Django Flask,Machine Learning Engineer,52.37
Java developer 6 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,94.8
Flutter developer 2 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,96.38
Frontend developer 2 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,88.73
Python Django tutorial,Senior Backend Engineer,30.43
Frontend HTML CSS JavaScript,Full Stack Developer,69.8
SQL database basics,Database Administrator,59.66
Cybersecurity analyst 5 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,79.96
Cloud architect 6 years AWS solutions architect EC2 VPC RDS S3 Lambda API Gateway IAM security cost optimization high availability disaster recovery multi-region CloudFront,Cloud Architect,91.27
Docker Kubernetes basics,DevOps Engineer,57.72
Java Spring Boot basics,Senior Java Developer,50.86
Flutter developer 6 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,90.76
AI engineer 5 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,89.45
Java programming student projects,Senior Java Architect,29.32
Blockchain developer 7 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,90.89
Data analyst with 3 years SQL Excel Tableau Power BI Python pandas matplotlib data visualization statistics business intelligence reporting dashboards KPI metrics data storytelling stakeholder management,Data Analyst,94.87
DevOps engineer 5 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,85.83
Excel Word PowerPoint,Data Engineer,21.18
DevOps engineer 7 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,96.89
SQL database basics,Database Administrator,49.67
DevOps engineer 6 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,84.51
Intern 6 months testing,QA Lead,26.51
Python developer with 6 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,87.1
AI engineer 5 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,93.83
Python Django tutorial,Senior Backend Engineer,35.57
Entry level computer science graduate,Principal Software Engineer,33.54
Testing manual automation,Senior QA Engineer,45.23
Flutter developer 2 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,83.22
HTML CSS basic JavaScript,Lead Backend Developer,29.08
Java programming student projects,Senior Java Architect,38.75
DevOps engineer 3 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,98.0
AI engineer 3 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,80.68
Java Spring Boot basics,Senior Java Developer,66.65
Python developer with 2 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,81.29
Testing manual automation,Senior QA Engineer,64.91
DevOps engineer 4 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,98.0
Python developer 2 years Django Flask,Machine Learning Engineer,59.96
Android development basics,Senior Android Developer,48.95
DevOps engineer 5 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,88.18
Android development basics,Senior Android Developer,45.9
iOS developer 6 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,81.73
Android development basics,Senior Android Developer,63.77
Flutter developer 5 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,88.25
SQL basic queries,Database Administrator,27.11
Java developer 7 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,89.95
Frontend developer 6 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,87.7
Intern 6 months testing,QA Lead,37.39
Cloud architect 4 years AWS solutions architect EC2 VPC RDS S3 Lambda API Gateway IAM security cost optimization high availability disaster recovery multi-region CloudFront,Cloud Architect,91.59
Excel Word PowerPoint,Data Engineer,16.33
Python developer with 4 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,90.29
Python developer with 4 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,84.34
WordPress basic website,Full Stack Developer,21.01
Android development basics,Senior Android Developer,49.41
Blockchain developer 5 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,93.63
Backend developer 3 years Python Django Flask FastAPI PostgreSQL Redis Celery Docker REST API microservices async programming unit testing pytest data structures algorithms,Backend Developer,90.29
Full stack developer 4 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,79.51
Full stack developer 6 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,92.79
Java developer 5 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,88.43
Python developer 2 years Django Flask,Machine Learning Engineer,60.41
Java programming student projects,Senior Java Architect,33.1
Frontend developer 6 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,81.24
Android development basics,Senior Android Developer,45.8
Intern 6 months testing,QA Lead,38.86
React developer JavaScript,Full Stack Developer,63.94
Cybersecurity analyst 3 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,90.64
Cybersecurity analyst 2 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,85.9
Python developer 2 years Django Flask,Machine Learning Engineer,62.84
Intern 6 months testing,QA Lead,39.58
Full stack developer 3 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,90.02
Testing manual automation,Senior QA Engineer,63.1
iOS developer 2 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,88.51
Java Spring Boot basics,Senior Java Developer,54.62
Intern 6 months testing,QA Lead,42.48
Product manager 2 years product roadmap agile scrum user stories market research competitive analysis stakeholder management data-driven decision making SQL A/B testing,Product Manager,70.52
Database administrator 5 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,92.7
Java developer 6 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,97.74
Data analyst SQL Tableau,Data Scientist,58.14
Python developer 2 years Django Flask,Machine Learning Engineer,59.54
Java developer 4 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,96.76
QA engineer 4 years automation testing Selenium WebDriver Java TestNG Maven Cucumber BDD API testing Postman JIRA agile regression testing test planning,QA Engineer,83.21
Intern 6 months testing,QA Lead,40.77
Android developer 7 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,81.79
AI engineer 7 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,92.85
iOS developer 4 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,86.06
Android development basics,Senior Android Developer,45.0
HTML CSS basic JavaScript,Lead Backend Developer,31.62
Python developer 2 years Django Flask,Machine Learning Engineer,56.41
Cybersecurity analyst 4 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,87.87
AI engineer 7 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,92.32
Java Spring Boot basics,Senior Java Developer,53.1
Blockchain developer 7 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,88.61
Machine learning engineer 3 years TensorFlow PyTorch Keras scikit-learn deep learning CNN RNN LSTM neural networks computer vision NLP model deployment MLOps Docker Kubernetes Python data preprocessing feature engineering,Machine Learning Engineer,80.51
Python Django tutorial,Senior Backend Engineer,36.15
Java Spring Boot basics,Senior Java Developer,64.69
Intern 6 months testing,QA Lead,40.08
Entry level computer science graduate,Principal Software Engineer,39.26
Flutter developer 4 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,81.37
React tutorial projects,Senior React Developer,26.71
AI engineer 4 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,98.0
DevOps engineer 7 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,98.0
Full stack developer 2 years React Node.js JavaScript TypeScript HTML CSS MongoDB Express.js REST API Git responsive design webpack babel npm microservices Docker CI/CD,Full Stack Developer,98.0
Python developer with 4 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,77.87
Java Spring Boot basics,Senior Java Developer,47.86
AI engineer 2 years artificial intelligence machine learning deep learning NLP computer vision TensorFlow PyTorch transformers BERT GPT LLM prompt engineering,AI Engineer,98.0
SQL database basics,Database Administrator,65.31
Java developer 7 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,89.31
Cybersecurity analyst 2 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,86.01
Database administrator 4 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,82.27
React developer JavaScript,Full Stack Developer,66.6
Frontend developer 7 years React Redux JavaScript ES6 HTML5 CSS3 Sass webpack babel responsive design mobile-first UI/UX Figma Git TypeScript hooks performance optimization,Frontend Developer,82.64
Python data analysis pandas,Data Engineer,65.03
Frontend HTML CSS JavaScript,Full Stack Developer,58.29
Data engineer 3 years Python Spark Hadoop Hive Kafka Airflow ETL data pipeline AWS Redshift data warehousing big data Snowflake dbt,Data Engineer,90.37
Entry level computer science graduate,Principal Software Engineer,35.14
Docker Kubernetes basics,DevOps Engineer,51.1
Testing manual automation,Senior QA Engineer,53.03
Android development basics,Senior Android Developer,51.1
Intern 6 months testing,QA Lead,35.53
Java Spring Boot basics,Senior Java Developer,56.83
